"Mapping Category","Source Database Type / Alias","Is Source Datatype Supported as PK?","Spanner GoogleSQL Default Datatype","Spanner GoogleSQL Default Datatype If Column is PK","Spanner GoogleSQL Alternative Datatypes","Spanner PostgreSQL Default Datatype","Spanner PostgreSQL Default Datatype If Column is PK","Spanner PostgreSQL Alternative Datatypes","Datastream Support Status","Edge Cases for Smoke Test","Notes"
"Numeric","TINYINT","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","[-128, 127] / [0, 255] (unsigned)","Mapped to INT64 as Spanner doesn't have 1-byte int"
"Numeric","SMALLINT","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","[-32768, 32767]","Mapped to INT64"
"Numeric","MEDIUMINT","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","[-8388608, 8388607]","Mapped to INT64"
"Numeric","INT","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","[-2147483648, 2147483647]","Mapped to INT64"
"Numeric","INTEGER","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","Alias for INT","Alias for INT"
"Numeric","BIGINT","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","[-9223372036854775808, 9223372036854775807]","Native mapping"
"Numeric","FLOAT","Yes","FLOAT32","FLOAT32","FLOAT64, STRING","PG.FLOAT4","PG.FLOAT4","PG.FLOAT8, PG.VARCHAR","Supported","Single precision boundary limits","Mapped directly"
"Numeric","DOUBLE","Yes","FLOAT64","FLOAT64","STRING","PG.FLOAT8","PG.FLOAT8","PG.VARCHAR","Supported","Double precision boundary limits","Native mapping"
"Numeric","REAL","Yes","FLOAT64","FLOAT64","STRING","PG.FLOAT8","PG.FLOAT8","PG.VARCHAR","Supported","Same as DOUBLE unless REAL_AS_FLOAT mode is on","Alias for DOUBLE"
"Numeric","DECIMAL","Yes","NUMERIC","NUMERIC","FLOAT64, STRING","PG.NUMERIC","PG.NUMERIC","PG.FLOAT8, PG.VARCHAR","Supported","Decimal precision test max (65, 30)","May lose precision if > max Spanner numeric limits"
"Numeric","DEC","Yes","NUMERIC","NUMERIC","FLOAT64, STRING","PG.NUMERIC","PG.NUMERIC","PG.FLOAT8, PG.VARCHAR","Supported","Alias for DECIMAL","Alias for DECIMAL"
"Numeric","NUMERIC","Yes","NUMERIC","NUMERIC","FLOAT64, STRING","PG.NUMERIC","PG.NUMERIC","PG.FLOAT8, PG.VARCHAR","Supported","Alias for DECIMAL","Alias for DECIMAL"
"Numeric","FIXED","Yes","NUMERIC","NUMERIC","FLOAT64, STRING","PG.NUMERIC","PG.NUMERIC","PG.FLOAT8, PG.VARCHAR","Supported","Alias for DECIMAL","Alias for DECIMAL"
"Numeric","BIT","No","BYTES","N/A","INT64, BOOL, STRING","PG.BYTEA","N/A","PG.INT8, PG.BOOL, PG.VARCHAR","Supported","0x00 to max bit mask depending on length","Stored as bytes or integer"
"Numeric","BOOL","Yes","BOOL","BOOL","INT64, STRING","PG.BOOL","PG.BOOL","PG.INT8, PG.VARCHAR","Supported","TRUE, FALSE","Synonym for TINYINT(1)"
"Numeric","BOOLEAN","Yes","BOOL","BOOL","INT64, STRING","PG.BOOL","PG.BOOL","PG.INT8, PG.VARCHAR","Supported","TRUE, FALSE","Synonym for BOOL"
"Numeric","SERIAL","Yes","INT64","INT64","STRING","PG.INT8","PG.INT8","PG.VARCHAR","Supported","0 to 18446744073709551615","Alias for BIGINT UNSIGNED NOT NULL AUTO_INCREMENT UNIQUE"
"Numeric","INT1","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","Alias for TINYINT","Alias for TINYINT"
"Numeric","INT2","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","Alias for SMALLINT","Alias for SMALLINT"
"Numeric","INT3","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","Alias for MEDIUMINT","Alias for MEDIUMINT"
"Numeric","INT4","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","Alias for INT","Alias for INT"
"Numeric","INT8","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","Alias for BIGINT","Alias for BIGINT"
"Numeric","MIDDLEINT","Yes","INT64","INT64","FLOAT64, STRING","PG.INT8","PG.INT8","PG.FLOAT8, PG.VARCHAR","Supported","Alias for MEDIUMINT","Alias for MEDIUMINT"
"Numeric","FLOAT4","Yes","FLOAT32","FLOAT32","FLOAT64, STRING","PG.FLOAT4","PG.FLOAT4","PG.FLOAT8, PG.VARCHAR","Supported","Alias for FLOAT","Alias for FLOAT"
